Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1622,A Midsummer Night’s Dream,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller","=""0743477545""","=""9780743477543""",5,3.94,Simon & Schuster,Mass Market Paperback,298,2016,1595,2024/11/12,2024/11/07,,,read,,,,1,0
11371,It Can't Happen Here,Sinclair Lewis,"Lewis, Sinclair",,"=""045121658X""","=""9780451216588""",0,3.80,Berkley,Paperback,400,2005,1935,,2024/11/08,to-read,to-read (#27),to-read,,,,0,0
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""0525509283""","=""9780525509288""",0,4.37,One World,Hardcover,305,2019,2019,,2024/11/07,to-read,to-read (#26),to-read,,,,0,0
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,"=""1324001801""","=""9781324001805""",5,3.92,W. W. Norton & Company,Hardcover,848,2023,-800,2024/11/06,2024/10/23,,,read,,,,1,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",4,4.21,Bantam Books,Hardcover,224,2004,1950,2024/10/23,2021/07/16,,,read,,,,1,0
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Ros Ballaster, Джейн Остин","=""0141439661""","=""9780141439662""",4,4.09,Penguin Books,Paperback,409,2003,1811,,2022/01/04,,,read,,,,2,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.31,Tor,Mass Market Paperback,324,2004,1985,2024/10/22,2021/07/16,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",4,4.16,Penguin,Paperback,532,2003,1846,2024/10/16,2022/01/04,,,read,,,,1,0
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",5,4.30,Bantam Books,Paperback,289,1993,1969,2024/10/13,2024/10/13,,,read,,,,1,0
10639,The Paradox of Choice: Why More Is Less,Barry Schwartz,"Schwartz, Barry",,"=""0060005696""","=""9780060005696""",0,3.83,Harper Perennial,Paperback,265,2005,2004,,2024/10/11,to-read,to-read (#25),to-read,,,,0,0
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",4,4.07,Vintage,Mass Market Paperback,397,2006,1998,2024/10/10,2024/09/26,,,read,,,,1,0
18527222,Grandma Gatewood's Walk: The Inspiring Story of the Woman Who Saved the Appalachian Trail,Ben Montgomery,"Montgomery, Ben",,"=""1613747187""","=""9781613747186""",5,4.10,Chicago Review Press,Hardcover,288,2014,2014,2024/09/30,2024/04/29,,,read,,,,1,0
135479,Cat’s Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,4.15,Penguin,Paperback,306,1999,1963,2024/09/30,2021/07/16,,,read,,,,1,0
56302573,Farenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",3,3.97,Qanun Nəşriyyatı,Unknown Binding,208,2019,1953,2024/09/26,2021/07/16,,,read,,,,1,0
2156,Persuasion,Jane Austen,"Austen, Jane","Deidre Shauna Lynch, James Kinsley","=""0192802631""","=""9780192802637""",4,4.15,Oxford University Press,Paperback,249,2004,1817,2024/09/25,2022/01/04,,,read,,,,1,0
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",5,4.05,Penguin Books,Paperback,474,2003,1815,2024/09/23,2022/01/04,,,read,,,,1,0
54717141,The Girls Who Stepped Out of Line (Feminist History Book for Adults),Mari K.  Eder,"Eder, Mari K.",,"=""1728230926""","=""9781728230924""",4,4.01,Sourcebooks,Hardcover,400,2021,2021,2024/08/14,2024/08/14,,,read,,,,1,0
29475447,"A Closed and Common Orbit (Wayfarers, #2)",Becky Chambers,"Chambers, Becky",,"=""1473621445""","=""9781473621442""",4,4.37,Hodder & Stoughton,Hardcover,365,2016,2016,2024/08/04,2024/05/13,,,read,,,,1,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",4,4.20,Grand Central Publishing,Paperback,345,2000,1993,2024/05/21,2024/05/15,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,4.10,Dial Press,Paperback,275,1999,1969,,2021/07/16,,,read,,,,2,0
44071899,Fair Play: A Game-Changing Solution for When You Have Too Much to Do (And More Life to Live),Eve Rodsky,"Rodsky, Eve",,"=""""","=""""",3,3.58,G.P. Putnam's Sons,ebook,352,2019,2019,2024/05/15,2024/04/03,,,read,,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",5,4.44,Crown,Hardcover,426,2018,2018,2024/05/13,2024/04/11,,,read,,,,1,0
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",5,4.26,Anchor Books,Paperback,368,1999,1997,2024/05/13,2024/01/01,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",3,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,2024/03/19,2021/07/16,,,read,,,,1,0
